actual,predicted
0.0,0.020769019
0.00038149299999999664,0.0069202334
0.0001905718800000039,0.010188803
0.0,0.015843283
0.0018104911000000057,0.007978119
0.0,0.0046994165
0.0,0.01677996
0.0005718320599999993,0.025468405
0.034812838,0.013821408
0.0,0.031895965
0.0,0.01678807
0.0014300458000000016,0.008470781
0.050166592,0.0039931014
0.0,0.010423452
0.0003815003000000039,-0.0032850206
0.0,-0.0021645054
0.0030505470000000007,0.0035059527
0.0,0.0030240193
0.0,0.011904813
0.0,0.009022139
0.0027655624000000045,0.011444382
0.0,0.02248156
0.045014545,0.08950268
0.14742962,0.14500512
0.06552982,0.04843202
0.0,0.024918985
0.0,0.03404957
0.0,0.023238081
0.004482921000000001,-0.0008678362
0.0,0.0045449585
0.0,0.0012267306
0.0018120045000000057,-0.0017999783
0.013066805,0.0007296726
0.0,0.010920316
0.0,0.003198512
0.0,0.028843623
0.14849225,0.022809867
0.0,0.048845064
0.0,0.04835728
0.008486210999999994,0.058792934
0.008585400999999993,0.024395641
0.0,0.04187572
0.48704073000000003,0.02769874
0.0,0.06430226
0.0,0.012708165
0.14790893,0.060334377
0.16928187,0.2799776
0.0,0.5885994
0.0,0.07263889
0.0,0.013816617
0.064179815,0.042452242
0.084212534,0.10101037
0.0,0.019640643
0.0,0.15017527
0.0,0.04048371
0.10308996,0.09826178
0.13227579,0.18609446
0.0,0.090935156
0.12588128,0.06428173
0.0,0.066893004
0.0062936090000000056,0.021093436
0.0,0.0062000826
0.0,0.010612093
0.0430122,0.014964066
0.0,0.004260771
0.000857638899999999,0.03110981
0.008964911000000006,0.0221572
0.0,0.036431134
0.07933983,0.14045501
5.0569086,0.6102357
0.0,2.2545266
0.0,2.1729362
1.4942598,0.18498784
0.0,0.21822059
0.0,0.36245173
0.0,0.10177267
0.0,0.15971005
0.0,0.093708746
0.0,0.007669054
0.0009536742999999986,0.02687706
0.011539551999999995,-0.0014013872
0.0,0.020728339
0.0,0.012803525
0.004576519000000001,0.011006631
0.023558735999999997,0.03365735
0.0,0.027510539
0.0,0.027868852
0.010490417500000002,0.053672567
0.086307526,0.01581106
0.0,0.010331877
0.0,0.016363498
0.0,0.0034327358
0.002287328199999994,0.009555213
0.0,-0.0019578114
0.0,-0.0018768832
0.0,0.005421467
0.02059992399999999,0.011706755
0.0,0.022730682
0.0,0.025958266
0.0,0.009616174
0.0,0.011706211
0.0,0.009431832
0.0,0.010614872
0.00038143479999999674,0.008815095
0.013065932000000002,0.010954
0.0,0.003000781
0.0,-0.0048229843
0.0,-0.0024087653
0.0,-0.0005377382
0.0,0.00054594874
0.0,0.007452503
0.0,0.009591356
9.534414999999574e-05,0.010891877
9.534414999999574e-05,0.011838339
0.002860324499999997,0.034127634
0.044438988,0.052542686
0.11844188,0.07949407
0.0,0.06276803
0.0,0.15663135
0.0,0.11221513
0.08840455,0.04254156
0.0,0.05457487
0.1418092,0.085584514
0.0,0.08818918
0.012688983000000001,0.041396916
0.0,0.05983351
0.0,0.12571985
0.011825870000000002,0.15696889
0.0,0.018810518
0.0,0.015912231
0.0,0.043066088
0.0,0.054198943
0.003242516000000001,0.0072157606
0.0,0.0018956214
0.0,0.010900475
0.0,0.01897218
0.0,0.0105962455
0.0,0.009483628
0.0,0.017439555
0.00038137659999999685,0.018509246
0.0046738422999999946,-0.00090070814
0.0,-0.0021346286
0.0,0.023466501
0.004196073999999994,0.017439555
0.0,0.0050096735
0.0,-8.442998e-05
0.0,0.008388273
0.0,0.010547921
0.0,-0.002660334
0.0,0.00012088567
0.0,0.01902103
0.0,0.024876773
0.0,0.00754717
0.0,0.00693205
0.0,0.012214839
0.0,0.013204753
0.0,-0.0044108033
0.0,-0.002408594
0.0018120045000000057,0.008041739
0.0,0.023245715
0.002765096699999997,0.008880496
0.0,-0.0026849508
0.0,0.0035185292
0.0,-0.0008703396
0.0,-0.0036733672
0.0,-0.0010519624
0.0,0.028126631
0.0,0.049676433
0.0,0.007084228
0.0,0.0024336055
0.0,0.012784205
0.0,0.0162253
0.0,-0.0008777082
0.0,-0.0017820671
0.0,0.0058412105
0.0,0.011317089
0.0,0.002253376
0.0,-0.0020919517
0.0,0.0023744553
0.0,0.0078105256
0.0,-0.0026511475
0.0,-0.0019788966
0.0,0.008695878
0.0,0.012538947
0.0,-0.002660334
0.0,-0.0021346286
0.0,0.012540832
0.0,0.01276125
0.0,-0.001378648
0.0,-0.0021346286
0.0,-0.0015342683
0.0,0.0031428486
0.0,-0.00588917
0.0,-0.0035210997
0.0,-0.0078034773
0.0,-0.0011989921
0.0,-0.005572483
0.0,-0.0033150688
0.0,0.00055892766
0.0,0.003101848
0.0,-0.00523746
0.0,-0.004745148
0.0,-0.008941188
0.0,0.0009824261
0.0,-0.006381996
0.0,-0.0035210997
0.0,-0.0032975376
