time,temperature,dewpoint,pressure,wind_u,wind_v,cloud_cover,humidity,rain_mm
2021-01-01 00:00:00,25.006378,21.00467,1010.6362,-3.6202755,-5.611431,0.44760495,78.490326,0.0
2021-01-01 06:00:00,27.137115,20.595917,1013.3044,-4.586198,-5.499852,0.97436047,67.4773,0.0
2021-01-01 12:00:00,26.107025,21.898743,1010.635,-3.6361952,-5.4476376,1.000001,77.662346,0.10862579
2021-01-01 18:00:00,25.648956,21.057404,1012.3875,-2.9655476,-6.0479946,0.9976256,75.79227,0.0
2021-01-02 00:00:00,25.250275,21.408783,1010.4356,-1.6928225,-5.638008,0.9985174,79.30001,0.0064843334
2021-01-02 06:00:00,25.919281,22.929901,1012.7569,-3.3825808,-5.862199,0.6976863,83.61004,0.34579125
2021-01-02 12:00:00,26.206024,23.328094,1009.8875,-4.584138,-4.7289486,0.47772282,84.20701,0.0
2021-01-02 18:00:00,24.993317,23.504974,1010.9306,-3.2100897,-4.990485,0.6691405,91.46278,0.29020867
2021-01-03 00:00:00,24.387543,23.26712,1009.0662,-3.3292532,-4.3177824,0.6162384,93.482994,0.53577185
2021-01-03 06:00:00,25.688263,23.690216,1011.40814,-4.1514597,-2.4980888,0.8521395,88.74473,0.5470417
2021-01-03 12:00:00,25.479431,23.619171,1008.77686,-3.791295,-2.5572882,0.9964489,89.46809,0.0
2021-01-03 18:00:00,25.555756,23.579437,1010.1994,-3.7078342,-3.0463505,0.95910114,88.850494,0.0
2021-01-04 00:00:00,25.874603,22.617706,1009.5637,-4.223358,-3.9996881,0.95437044,82.25983,0.0
2021-01-04 06:00:00,27.329315,22.413788,1011.1325,-5.289587,-3.8025942,0.8058804,74.573875,0.0
2021-01-04 12:00:00,26.927643,23.358032,1009.1194,-4.159683,-3.933238,0.43435985,80.8471,0.051117815
2021-01-04 18:00:00,25.02182,23.511505,1011.1819,-2.2370234,-4.6824474,0.99851644,91.34345,1.00929
2021-01-05 00:00:00,24.696503,23.25235,1009.82,-1.1403732,-3.083928,0.98780423,91.68909,0.0
2021-01-05 06:00:00,26.262238,23.750336,1011.6281,-3.142807,-2.4610739,0.9941714,86.091354,0.39826208
2021-01-05 12:00:00,26.325012,23.86966,1009.4906,-2.807745,-2.6015034,0.995141,86.39069,0.0
2021-01-05 18:00:00,25.334015,23.445923,1011.51935,-2.5970259,-0.9864836,1.0000001,89.307236,0.0874185
2021-01-06 00:00:00,25.36673,23.560669,1009.265,-2.1668167,-0.9438076,0.917691,89.752464,0.0
2021-01-06 06:00:00,25.856476,23.762177,1010.8631,-3.972374,-0.002943039,0.956832,88.24559,1.6209751
2021-01-06 12:00:00,26.470306,23.760406,1008.28314,-3.8721542,0.06570655,0.9676177,85.09215,0.0
