actual,predicted
8.731148999630012e-08,0.036100186
0.0,0.011308491
0.0,0.008883774
0.0,0.014155913
0.08391589,0.03515096
0.0,0.002877012
0.0,0.0044402927
0.0,0.00362584
0.006681307999999997,0.027635258
0.0,0.01193732
9.534414999999574e-05,-0.0009822026
0.0010487856000000045,0.006833598
0.07344501,0.021009225
0.0,0.008159041
0.0,-0.0011463091
0.0,0.0011062846
0.0019073485999999973,0.0069859102
0.0,0.00818377
0.0,0.007992834
0.0,0.011305623
0.002100132399999996,0.06766046
0.0,0.008743808
0.0,0.02043654
0.016407437999999996,0.026209012
0.2525096,0.100751184
0.0,0.02181878
0.0,0.0076654553
0.0,-0.01030761
0.0,0.004079357
0.0,-0.0011973083
0.0,-0.002200529
0.0,-0.0062478483
0.010970980000000005,0.016405948
0.0,0.012531832
9.534414999999574e-05,0.0029937327
0.0,-0.00753659
0.03328392,0.040285237
0.0,0.030166563
0.0,0.021560919
9.685754999999574e-05,0.026281308
0.06944174,0.03634493
0.0,0.021559235
0.0,0.013971217
0.00019371510000000536,0.0019777864
0.0020936131000000024,0.007857852
0.0,0.025107883
0.0008577890700000035,0.047801383
0.0,0.62329555
0.3666466,0.36591223
0.0,0.029399104
0.0,0.0335116
0.0,0.021727059
0.12148658,0.037931845
0.0,0.028832164
0.0007636845000000003,0.028827462
0.0,0.013874531
0.0752714,0.05033274
0.0,0.029306307
0.0,0.011416949
0.016782433,0.017411944
0.005150874999999999,0.032011498
0.0,0.0122612715
0.0,-0.0028773248
0.0,0.012678057
0.0319475,0.01520123
0.0,0.006636396
0.00019022264000000122,0.048652273
0.0,0.0045763105
0.0030398368999999953,0.036565725
2.3144093,0.3307745
0.0,0.61138356
0.0,0.4709181
0.0,0.23314282
1.7051525999999997,0.23769388
0.0,0.21154955
0.0,0.08453398
0.0,0.11013183
0.0,0.01841063
0.0,0.0024013892
0.0,-0.009130418
0.0012400560000000033,0.019360986
0.0,0.009737134
0.0,0.012406483
0.0,0.0018857643
0.005818903400000006,0.033523697
0.0,0.029493887
2.3283064000401144e-07,0.033158984
0.0,0.03187703
0.12951344,0.07391475
0.0,0.03231305
0.0,0.0032523423
0.00019068830000000536,0.013817679
0.014494406000000001,0.016053095
0.0,0.0034272
0.0,0.0061000735
0.0,0.0065181926
0.009061768999999997,0.015845507
0.0,0.010375544
0.0,0.07884219
0.0,0.005860992
0.0,0.014432929
0.0,0.010555565
0.0,0.009557113
0.0,0.010262914
0.0021946615999999947,0.024434324
0.0,0.00991296
0.0,-0.0017056391
0.0,-0.00953114
0.0,0.008604243
0.0,0.008060247
0.0,0.011385702
0.0,0.006224349
0.0,0.033908032
0.0,0.011482529
0.0,-0.001218997
0.0,0.0024904385
0.0,0.017612603
0.0017150211999999998,0.040936444
0.0,0.053761177
0.0,0.07121627
0.17336725,0.09034239
0.0,0.055312164
0.0,0.02900485
0.029461704000000005,0.030698102
