actual,predicted
0.0,0.008869447
1.1641531999506682e-07,0.009833097
0.0001905718800000039,0.022391427
0.0,0.013471603
0.008486210999999994,0.012747452
0.0,0.014458325
0.0,0.016042206
0.0005718320599999993,0.044013184
0.09288266,0.027688652
0.0,0.018258575
0.0,0.011486322
0.0014300458000000016,0.0061944127
0.14008392,0.020694636
0.0,0.002979353
9.458744999746305e-08,-0.0010791197
0.00019036088000000395,0.008552752
0.004576985000000006,0.011556044
0.0,0.035448875
0.0,0.011036687
0.0,0.009798937
0.007818919000000008,0.0173528
0.0,0.02211468
0.007636845000000003,0.049458567
0.14265752,0.01861713
0.13952899,0.047393844
0.0,0.003855452
0.0,-0.0035049021
0.0,-0.0037086233
0.004387460600000004,0.004369013
0.0,0.006691925
0.0,0.004860811
0.0002863817000000046,0.009008169
0.03966922,0.025280453
0.0,0.009489909
0.0004765461200000043,0.014382716
0.0,0.007871076
0.20866314,0.040403295
0.0,0.05804561
0.0,0.026804507
0.006867572700000005,0.034046315
0.12100348,0.03593557
0.0,0.026049454
0.059582293,0.019038279
0.10980666,0.03181798
0.0,0.02101951
0.03835559,0.052740615
0.07058405,0.08046411
0.0,0.6861447
0.03194416,0.2279545
0.0,0.049313627
0.022510572999999992,0.019366324
0.009073433000000006,0.020488393
0.015140719999999996,0.04930223
0.0,0.06492001
0.0,0.039169196
0.031478703,0.029636916
0.111492395,0.11941697
0.0,0.03330693
0.008311123000000004,0.05970641
0.0,0.031185918
0.008486873500000006,0.026912335
0.0,0.0098854825
0.0010486692000000047,0.0051429793
0.0060154124999999975,0.013812035
0.0001828810199999975,0.022078741
0.0,0.009329274
0.0,0.04115196
0.0,0.017999943
0.0003748573400000066,0.058995888
3.7339237,0.13246417
0.0,0.30055523
0.0,0.9277786
2.46063,0.70832443
0.0,0.3906673
0.0,0.4233031
0.0,0.27448425
0.0,0.24368432
0.0,0.14972888
0.0,0.09183411
0.0009536742999999986,-0.007651627
0.024030449999999995,0.033406124
0.0,0.0030637532
0.0,0.008073442
0.003813765999999996,0.02030921
0.04920829,0.034384765
0.0,0.024332453
0.0007627531999999937,0.020842861
0.0007646158299999956,0.015697367
0.17679483,0.070738785
0.0,0.019631986
0.0,-0.0038218051
0.0,0.005147606
0.006960704999999998,0.0016467944
0.0,-0.00019422174
0.0,0.008654192
0.0,0.015731603
0.038431026,0.0229721
0.0,0.03919525
0.0,0.042592846
0.0,-0.0008728206
0.0,0.010151222
0.0,0.016799804
0.0,0.012556925
0.0,0.0067739114
0.028703827000000008,0.015357442
0.0,-0.0060528815
0.0,-0.00210049
0.0,-0.0041243583
0.0,0.0068235546
0.0,0.012518659
0.0,0.025319591
0.0,0.012197681
9.534414999999574e-05,0.029094495
0.0,0.016827013
0.000381842260000001,0.018344276
0.0008549540999999994,0.020731468
0.02090633,0.045116737
0.05464395,0.05094216
0.0,0.028089229
0.0,0.021617673
0.051695533,0.038882367
0.0,0.031946428
0.02614638400000001,0.06909471
0.0,0.03481458
0.05807792,0.04429966
0.0,0.052525483
0.0,0.05240826
0.006676587299999995,0.04268757
0.003813884200000006,0.028194387
0.0,0.005346969
0.0,0.03472148
0.0,-0.012478977
0.0009540817700000037,-0.00081531703
0.0,-7.228553e-05
0.0,0.0063615516
0.0,0.012497485
0.0,0.011919059
0.0,-0.00158678
0.0,0.010669671
0.0,-0.0040581375
0.00037997959999999664,0.00027652085
0.0,-0.0024420843
0.0,0.0042811707
0.0006682239500000048,0.012503862
0.010964926,0.0026506707
0.0,0.020189475
0.0,0.0033825487
0.0,0.009055451
0.0,0.00095559657
0.0,0.0136748105
0.0,-0.0010749325
0.0,0.016767789
0.00038140570000000373,0.0087604
0.0,-0.00061789155
0.0,-0.0035971925
0.0,0.0023270026
0.0007627531999999937,0.004031889
0.0,0.0011598766
0.0002863817000000046,0.001451388
0.0,0.0067163333
0.00028684734999999406,0.0059383437
0.0,0.002133906
0.0,0.00014606863
0.0,0.0011674389
0.0,0.0054480582
0.0,0.01588181
0.0,0.021833215
0.0,0.02714822
0.0,0.008850992
0.0,0.0019365922
0.0,0.0017952919
0.0,-0.0048501715
0.0,-0.0017691255
0.0,-0.0025280565
0.0,0.0068408996
