time,temperature,dewpoint,pressure,wind_u,wind_v,cloud_cover,humidity,rain_mm
2021-01-01 00:00:00,23.950348,21.51358,1009.6825,-1.0820675,-3.7626762,0.3345068,86.262184,0.0
2021-01-01 06:00:00,28.64267,21.212585,1012.16815,-3.8388834,-4.4414415,0.9865217,64.19004,0.0
2021-01-01 12:00:00,27.019745,22.742737,1009.5494,-2.5443983,-3.3972225,1.000001,77.47255,0.026146006
2021-01-01 18:00:00,24.588165,21.212463,1011.40564,-1.383028,-3.7884731,0.9944465,81.50829,0.0
2021-01-02 00:00:00,24.156403,21.033844,1009.5519,0.17546368,-3.7693558,0.9980215,82.731766,0.0050533563
2021-01-02 06:00:00,26.522308,23.102112,1011.725,-2.1239748,-4.588578,0.9139873,81.52882,0.3023041
2021-01-02 12:00:00,26.772736,23.594849,1008.8331,-2.9346018,-3.5783749,0.42086858,82.76048,0.0
2021-01-02 18:00:00,24.593414,23.388214,1009.97687,-1.1906805,-3.7631292,0.7617461,93.015785,0.14508255
2021-01-03 00:00:00,23.830597,22.889008,1008.1044,-1.2613821,-3.5198698,0.85693055,94.47516,0.7460197
2021-01-03 06:00:00,25.994476,23.916351,1010.3806,-2.6454782,-2.1756706,0.85181904,88.3428,0.5931012
2021-01-03 12:00:00,25.507965,24.139008,1007.7369,-2.2898302,-1.8788824,0.9982246,92.15224,0.0
2021-01-03 18:00:00,24.6633,23.780182,1009.21124,-1.6946507,-1.9615726,0.9667153,94.841736,0.0
2021-01-04 00:00:00,25.050934,22.859863,1008.59436,-1.5588074,-2.6821222,0.98598665,87.66368,0.0
2021-01-04 06:00:00,27.986237,22.4505,1010.02686,-4.467993,-3.0033083,0.6686429,71.92471,0.0
2021-01-04 12:00:00,27.517395,23.678284,1008.0012,-2.8300323,-2.6359968,0.47502452,79.62117,0.04863677
2021-01-04 18:00:00,24.82846,23.612274,1010.21814,-1.2000971,-3.2705822,0.995335,92.966064,0.41515833
2021-01-05 00:00:00,24.340302,23.18399,1008.7919,-0.22411346,-2.923833,0.9881895,93.27825,0.0
2021-01-05 06:00:00,27.437408,24.064728,1010.4625,-1.9974823,-2.4397726,1.0000002,81.87538,0.36479416
2021-01-05 12:00:00,26.696808,24.464874,1008.3725,-1.6334896,-1.9576435,0.9940424,87.59028,0.0
2021-01-05 18:00:00,24.82669,23.557251,1010.535,-0.8731489,-1.2735319,1.0000001,92.668144,0.0
2021-01-06 00:00:00,24.925385,23.629791,1008.21564,-0.8152542,-1.2025356,0.9808624,92.52747,0.0
2021-01-06 06:00:00,26.869171,23.835999,1009.5594,-2.7008896,-0.32514763,0.9555808,83.4957,2.8823807
2021-01-06 12:00:00,26.85617,24.541138,1007.28125,-2.3897934,-0.09304589,0.9782912,87.16975,0.0
2021-01-06 18:00:00,25.111053,24.274323,1009.7325,-1.1076698,0.87561554,0.91396123,95.1227,0.0
2021-01-07 00:00:00,24.643158,23.107819,1007.8425,0.2834015,-0.8689022,0.6444367,91.18188,0.0
2021-01-07 06:00:00,28.958832,24.292664,1008.97314,-2.4445324,-2.3892298,0.9022242,75.966095,0.15133046
2021-01-07 12:00:00,27.56131,24.427063,1005.46,-3.6042156,-1.8638506,0.7323936,83.06905,0.0
2021-01-07 18:00:00,26.100128,23.851776,1007.79315,-1.4392319,-1.5190039,0.98726815,87.45216,0.18356378
2021-01-08 00:00:00,25.531342,23.765594,1005.83936,-0.85424423,-1.6249914,0.91267604,89.982445,0.0
2021-01-08 06:00:00,26.596405,23.876495,1008.4275,-1.848484,-1.5349684,0.9617092,85.053894,1.1623439
2021-01-08 12:00:00,26.995667,24.011139,1005.5656,-1.5312538,-1.7707567,0.80700755,83.75427,0.0
2021-01-08 18:00:00,25.214142,24.080078,1008.60626,-1.6479168,-1.7698593,0.9458583,93.445305,0.0
2021-01-09 00:00:00,24.573181,23.54718,1007.35815,-1.0082092,-1.7521477,0.98173994,94.02551,0.11214614
2021-01-09 06:00:00,28.285126,25.218536,1008.95685,-3.203188,-2.2497911,0.99999833,83.4873,0.0
2021-01-09 12:00:00,27.274658,24.200073,1007.2081,-2.9101267,-0.9466934,1.0,83.3339,0.0
2021-01-09 18:00:00,24.756042,23.677856,1009.5106,-1.845789,-1.6195841,1.0,93.73847,0.21247444
2021-01-10 00:00:00,24.711273,23.348236,1007.9231,-0.37285233,-2.9357338,0.9980223,92.14017,0.023835436
2021-01-10 06:00:00,27.64444,24.374878,1009.4581,-0.82560253,-3.8972006,1.0,82.40823,0.0
2021-01-10 12:00:00,27.97696,23.464752,1006.745,-1.9659138,-2.427558,1.0,76.52099,0.0
2021-01-10 18:00:00,24.57785,23.657806,1009.67,-1.7608767,-3.000968,1.0,94.62788,2.4036925
2021-01-11 00:00:00,24.544037,23.143341,1008.1806,-0.98290634,-3.8702955,1.0,91.92123,0.0
2021-01-11 06:00:00,26.260529,24.604858,1009.64874,-1.5244675,-4.98473,1.0,90.62885,0.0
2021-01-11 12:00:00,25.54773,24.074371,1007.9875,-1.2060308,-3.8231077,1.0,91.57887,2.166318
2021-01-11 18:00:00,24.880493,23.82602,1009.3113,-1.9204235,-4.8869715,1.0,93.877914,0.0
2021-01-12 00:00:00,24.97464,23.264374,1007.79626,-2.1594706,-4.464986,1.0,90.24481,0.0
2021-01-12 06:00:00,25.023712,24.257446,1010.425,-4.876586,-3.8981743,1.0,95.522415,0.79050803
2021-01-12 12:00:00,26.112122,24.120453,1007.21,-4.676895,-3.5717583,0.9999999,88.81217,0.0
2021-01-12 18:00:00,24.649261,23.81311,1010.0538,-3.895443,-1.9784365,1.0,95.10957,0.8094225
2021-01-13 00:00:00,24.62265,23.130615,1007.9406,-1.6673174,-2.8903103,0.95274407,91.4197,0.0
2021-01-13 06:00:00,27.353668,25.089752,1010.2025,-3.466817,-3.034379,0.87326676,87.48001,0.0
2021-01-13 12:00:00,25.550537,23.60431,1007.6431,-4.2014046,-2.1925516,0.7866446,89.01134,0.022645429
2021-01-13 18:00:00,24.827423,23.672058,1011.0081,-1.3449373,-2.1469898,0.79197603,93.30722,0.041118607
2021-01-14 00:00:00,24.965546,23.549469,1007.7419,-1.6979771,-3.6456356,0.5225208,91.86043,0.0
2021-01-14 06:00:00,27.923676,23.573425,1010.22876,-3.5111504,-2.9386072,0.3918,77.263756,0.12321976
2021-01-14 12:00:00,26.636047,23.592468,1007.5588,-3.2874088,-1.6074953,0.6219388,83.41718,0.030819625
2021-01-14 18:00:00,24.52359,23.47171,1009.78186,-1.9465532,-1.5621462,0.86622,93.87676,0.2299098
2021-01-15 00:00:00,24.666962,22.921997,1008.215,-0.79625607,-1.8915367,0.9933216,90.034096,0.0
2021-01-15 06:00:00,26.266571,23.532318,1010.7056,-1.2422552,-3.1581488,1.0,84.94649,0.550823
2021-01-15 12:00:00,26.337006,23.301025,1008.0175,-2.626073,-1.9793024,0.9988881,83.42169,0.0
2021-01-15 18:00:00,25.015411,23.278107,1009.54877,-1.3729486,-1.6972904,0.99730086,90.1004,0.0
2021-01-16 00:00:00,24.637115,23.157288,1007.5644,-0.22142696,-2.3414602,0.61785215,91.488075,0.0
2021-01-16 06:00:00,27.693329,23.237946,1009.6575,-2.4371939,-3.0473433,0.8398501,76.74077,0.28105187
2021-01-16 12:00:00,27.174194,23.825012,1007.2425,-2.763792,-1.4936781,0.9025691,81.959,0.0
2021-01-16 18:00:00,24.688507,22.72116,1009.51935,-1.7480555,-1.4750452,0.9589344,88.83044,0.0
2021-01-17 00:00:00,23.266571,21.238922,1008.53564,-0.31214428,-1.7399921,0.8487658,88.39001,0.0
2021-01-17 06:00:00,28.921051,21.504547,1010.6912,-1.7619228,-2.9926157,0.4883821,64.302536,0.0
