time,temperature,dewpoint,pressure,wind_u,wind_v,cloud_cover,humidity,rain_mm
2021-01-01 00:00:00,22.8378,21.194183,1006.7225,-0.12625694,-3.454937,0.22550565,90.464226,0.0
2021-01-01 06:00:00,28.565582,21.591217,1009.075,-3.449174,-4.2465563,0.98688793,65.99087,0.038236324
2021-01-01 12:00:00,27.36441,22.757751,1006.35187,-2.2038221,-2.5306454,1.000001,75.99111,0.0
2021-01-01 18:00:00,23.399567,20.992584,1008.41376,-0.9200764,-3.1549282,0.9930904,86.367165,0.0
2021-01-02 00:00:00,23.179352,20.367035,1006.64435,0.5363035,-3.5083694,1.0000013,84.21539,0.00057183206
2021-01-02 06:00:00,26.441132,22.719025,1008.66376,-2.0554934,-4.329179,0.9896709,80.041275,0.11338343
2021-01-02 12:00:00,26.39206,23.395294,1005.8281,-2.096589,-3.6142635,0.42276067,83.62558,0.0
2021-01-02 18:00:00,24.112091,23.074982,1007.0275,-0.55237484,-3.766059,0.97089833,93.94235,0.0
2021-01-03 00:00:00,23.705902,22.341766,1005.1106,-0.29971218,-3.4518156,0.99999696,92.0769,0.260078
2021-01-03 06:00:00,25.17511,23.357513,1007.1731,-1.2258615,-3.0249748,0.8036928,89.67608,0.08747494
2021-01-03 12:00:00,25.24118,23.976593,1004.695,-1.9061632,-1.3703985,0.98998964,92.716995,0.2893903
2021-01-03 18:00:00,24.2117,23.450165,1006.1219,-0.83649635,-2.0129642,0.97958225,95.523,0.0
2021-01-04 00:00:00,24.235687,22.79779,1005.5706,-0.5254822,-2.6840754,0.9885959,91.69634,0.0
2021-01-04 06:00:00,27.615326,22.351318,1006.975,-4.0282955,-2.7715273,0.68590057,73.05771,0.0
2021-01-04 12:00:00,27.581146,23.246796,1004.84186,-2.4116974,-2.0995588,0.68750316,77.28706,0.0
2021-01-04 18:00:00,24.357819,23.375244,1007.22815,-1.1054316,-2.7783947,0.94777334,94.26296,0.0
2021-01-05 00:00:00,23.96457,22.769623,1005.67065,-0.102897644,-3.3375902,0.9791525,93.04178,0.34634033
2021-01-05 06:00:00,26.49704,23.94101,1007.46875,-1.3952484,-3.2281637,0.99556947,85.88588,0.0
2021-01-05 12:00:00,26.3219,24.294708,1005.1994,-1.26087,-1.9317341,0.9993348,88.63976,0.29396892
2021-01-05 18:00:00,24.209076,23.164368,1007.5119,-0.5594282,-1.5816984,1.0000001,93.903496,0.0
2021-01-06 00:00:00,24.582428,23.293945,1005.1262,-0.2667923,-1.6349087,0.9999969,92.548744,0.013537973
2021-01-06 06:00:00,27.057526,23.93576,1006.3156,-1.2665634,-0.92799187,0.9811583,83.07348,1.045537
2021-01-06 12:00:00,26.441437,24.655731,1004.21185,-2.4067001,-0.17254418,0.9982726,89.93938,0.36298037
2021-01-06 18:00:00,24.660309,24.135376,1006.525,-1.0386391,0.7364554,0.9796389,96.90502,0.0
2021-01-07 00:00:00,24.397308,23.03241,1004.79065,0.482193,-1.2374935,0.7704896,92.11204,0.0
2021-01-07 06:00:00,29.233612,24.279114,1005.76,-2.2288342,-2.2242517,0.9393488,74.707565,0.35553595
2021-01-07 12:00:00,27.634064,24.417328,1002.22876,-3.1087933,-1.5266924,0.71344984,82.66814,0.0
2021-01-07 18:00:00,25.642365,23.526001,1004.7413,-0.65309906,-1.452323,0.976999,88.11068,0.15700246
2021-01-08 00:00:00,25.10437,23.553558,1002.77,-0.11535263,-1.7149267,0.91042536,91.12587,0.0
2021-01-08 06:00:00,26.713287,23.535522,1005.3225,-0.58047867,-2.130641,0.98108786,82.75417,1.0695767
2021-01-08 12:00:00,26.940704,23.875244,1002.48627,-1.4459877,-1.0603075,0.72034526,83.3418,0.0
2021-01-08 18:00:00,24.789948,23.763336,1005.5531,-1.1055584,-1.5302658,0.9486583,94.031456,0.0
2021-01-09 00:00:00,24.180603,23.159729,1004.1025,-0.4797058,-1.8625603,0.9743089,94.037605,0.0
2021-01-09 06:00:00,28.55484,25.012115,1005.8331,-2.840395,-2.3549852,0.9868872,81.1841,0.14353804
2021-01-09 12:00:00,27.486816,24.038422,1003.97687,-2.435151,-0.78806305,1.0,81.51001,0.0
2021-01-09 18:00:00,24.467682,23.465729,1006.3375,-1.0794315,-1.612443,1.0,94.15741,0.28575835
2021-01-10 00:00:00,24.539398,23.055328,1004.98126,-0.20720291,-2.4714394,1.0,91.45861,0.0
2021-01-10 06:00:00,27.803253,24.002686,1006.4244,-1.034709,-3.5809164,1.0,79.84444,0.0
2021-01-10 12:00:00,28.268494,23.284363,1003.5556,-1.7699909,-1.4174261,1.0,74.41774,0.0
2021-01-10 18:00:00,24.811768,23.798004,1006.6225,-1.2741823,-2.2155676,1.0,94.10512,1.821653
2021-01-11 00:00:00,24.438873,23.020325,1005.28687,-0.5545616,-3.3855543,1.0,91.81589,0.0
2021-01-11 06:00:00,26.114502,24.6026,1006.705,-1.4099045,-4.011097,1.0,91.401985,0.0
2021-01-11 12:00:00,25.650848,24.335754,1004.9819,-0.643775,-2.623767,1.0,92.45825,0.77496684
2021-01-11 18:00:00,24.65625,23.826874,1006.3038,-0.9134655,-4.0672693,1.0,95.14859,0.89426935
2021-01-12 00:00:00,24.399994,22.78946,1004.78876,-0.89506626,-3.9990435,1.0,90.75203,0.0
2021-01-12 06:00:00,24.894714,24.071167,1007.4275,-2.7293692,-4.1524467,1.0,95.19034,0.85964954
2021-01-12 12:00:00,25.657532,23.901337,1004.21625,-3.0387115,-3.7408257,0.9999999,90.043076,1.3912365
2021-01-12 18:00:00,24.052399,23.370178,1007.0181,-2.5996666,-2.5896425,1.0,95.976265,0.0
2021-01-13 00:00:00,24.110504,22.775085,1004.9494,-1.0148516,-3.3051662,0.9713369,92.26049,0.0
2021-01-13 06:00:00,27.283966,24.465729,1007.0687,-3.2573442,-3.2125406,0.8353029,84.62483,0.0
2021-01-13 12:00:00,25.826294,23.482422,1004.5475,-3.3267708,-2.0881815,0.71990263,86.92623,0.08146031
2021-01-13 18:00:00,24.2836,23.293213,1007.96313,-1.0881014,-1.718523,0.84002596,94.21541,0.034897372
2021-01-14 00:00:00,24.001495,22.508636,1004.85065,-0.6456089,-3.575323,0.47984195,91.37681,0.0
2021-01-14 06:00:00,27.118805,23.444244,1007.295,-2.1991386,-3.1939478,0.5759888,80.36143,0.20788816
2021-01-14 12:00:00,26.731445,23.370178,1004.29126,-2.6979313,-1.2884035,0.613165,81.84541,0.0
2021-01-14 18:00:00,24.123566,23.389313,1006.7444,-1.1119585,-1.7395754,0.86434317,95.677505,0.027030498
2021-01-15 00:00:00,24.471283,22.91925,1005.2475,-0.02464962,-2.1646385,0.99960345,91.07893,0.05533637
2021-01-15 06:00:00,26.276825,23.32492,1007.60815,-1.57862,-3.5119085,1.0,83.839485,0.014023557
2021-01-15 12:00:00,26.52771,23.11084,1004.7537,-2.054906,-1.3427057,0.99960524,81.54587,0.0
2021-01-15 18:00:00,24.448639,23.14569,1006.3894,-0.87069035,-1.599329,0.9959667,92.46068,0.0
2021-01-16 00:00:00,24.256256,22.658112,1004.5506,0.24244022,-2.3136282,0.57100767,90.81078,0.0
2021-01-16 06:00:00,27.520172,22.546661,1006.56,-1.8954458,-3.176921,0.8803622,74.342834,0.2927772
2021-01-16 12:00:00,27.53598,23.790375,1004.0594,-2.4503765,-0.95125866,0.9096568,80.07305,0.0
2021-01-16 18:00:00,24.057648,22.534515,1006.3738,-1.3487024,-1.085702,0.91979563,91.21244,0.0
2021-01-17 00:00:00,22.532501,21.102264,1005.5019,0.2968645,-1.7725239,0.91961235,91.6369,0.0
2021-01-17 06:00:00,28.915924,21.551483,1007.5119,-1.3526821,-2.7385263,0.39998794,64.50665,0.0
2021-01-17 12:00:00,27.838531,20.665924,1005.15564,-2.4705095,-1.7839918,0.32274956,65.04311,0.0
2021-01-17 18:00:00,22.686676,20.4794,1008.1238,-0.43128872,-2.1722527,0.8875836,87.36936,0.0
2021-01-18 00:00:00,21.628448,19.568146,1006.65814,0.6751528,-2.6925535,0.29570815,88.07533,0.0
2021-01-18 06:00:00,28.786163,20.421967,1009.1875,-2.8915882,-4.171139,0.76879996,60.63548,0.012492994
2021-01-18 12:00:00,27.437836,20.594452,1005.3806,-2.879528,-2.124444,0.9646638,66.292274,0.0
2021-01-18 18:00:00,22.777496,19.946198,1007.63873,-0.29807568,-1.7957754,0.9337709,84.072495,0.0
2021-01-19 00:00:00,22.622711,20.215668,1006.0613,1.0907402,-2.0883741,0.9840285,86.29239,0.0003813766
2021-01-19 06:00:00,28.747711,21.570953,1008.655,-1.2677135,-3.7601185,0.65463907,65.21622,0.0041965395
2021-01-19 12:00:00,29.131195,21.51352,1005.1,-0.8498783,-2.20679,0.01763916,63.56018,0.0
2021-01-19 18:00:00,25.467377,22.402008,1007.4319,-1.1525555,-2.127121,0.7275244,83.17433,0.0
2021-01-20 00:00:00,24.56546,21.516388,1006.41315,1.3395929,-2.5106068,0.87010825,83.15323,0.0
2021-01-20 06:00:00,29.66983,23.26883,1008.2081,-0.7329693,-3.4454794,0.89355123,68.55425,0.059902668
2021-01-20 12:00:00,28.690582,24.12857,1005.82874,-2.041977,-2.1955957,0.69254225,76.400734,0.0
2021-01-20 18:00:00,25.82669,23.65506,1007.5,-1.0840425,-1.924818,0.21882516,87.83323,0.0
2021-01-21 00:00:00,24.634674,22.848572,1006.64,0.2899866,-2.1572495,0.9379632,89.80772,0.051152673
2021-01-21 06:00:00,29.77237,24.777008,1008.2681,-1.3491697,-1.6311293,0.5896757,74.61206,0.007400248
2021-01-21 12:00:00,29.78128,24.81839,1004.9775,-2.029029,0.0010566711,0.3853697,74.758316,0.0
2021-01-21 18:00:00,26.08551,25.006409,1006.84314,-1.2819977,-0.6263008,0.07493051,93.79324,0.0
2021-01-22 00:00:00,25.483063,23.792542,1006.815,0.32640648,-1.0146294,0.78158104,90.387314,0.08163619
2021-01-22 06:00:00,30.386139,25.4841,1008.4412,-0.93695927,-1.2465935,0.49343163,75.126526,0.0034345388
2021-01-22 12:00:00,29.717804,24.063873,1004.3212,-2.33041,-0.30786037,0.14511223,71.717896,0.0
2021-01-22 18:00:00,25.196167,24.224915,1006.97565,-1.524231,-0.5613098,0.05029418,94.36182,0.0
2021-01-23 00:00:00,24.579712,22.73172,1005.95374,0.040361404,-1.7163906,0.50672144,89.467384,0.057310987
2021-01-23 06:00:00,29.59378,21.383514,1008.6188,-2.335167,-2.534315,0.33731174,61.394627,0.0
2021-01-23 12:00:00,28.390533,22.901825,1006.1931,-2.72499,-0.9404793,0.42334995,72.20142,0.025835054
2021-01-23 18:00:00,23.804535,22.433624,1008.435,-1.5027447,-1.0377254,0.1614808,92.04463,0.0
2021-01-24 00:00:00,24.078522,22.020355,1007.0069,0.80260754,-1.4236708,0.9714364,88.29208,0.0
2021-01-24 06:00:00,29.167389,19.886444,1009.66437,-1.7031631,-1.9299545,0.97669226,57.379932,0.00620028
2021-01-24 12:00:00,28.748322,21.423004,1006.1831,-1.9783335,-0.75889874,0.9866464,64.62597,0.0
2021-01-24 18:00:00,23.974152,22.443024,1009.04065,-1.2939587,-1.008832,0.99431384,91.16286,0.0
2021-01-25 00:00:00,23.689362,21.520538,1007.92377,0.71171474,-1.6709785,1.0,87.6644,0.03308852
2021-01-25 06:00:00,29.318207,20.025269,1009.9487,-2.1340618,-1.4472208,0.9705566,57.37327,0.0
2021-01-25 12:00:00,29.588715,21.704071,1006.52875,-1.7524967,-0.6821966,0.7506569,62.629044,0.0
2021-01-25 18:00:00,23.60141,21.310394,1008.9581,-1.5968647,-1.1126871,0.0,87.00294,0.0
2021-01-26 00:00:00,22.795319,20.583344,1007.35065,0.13441849,-2.467266,0.82305855,87.353745,0.0
2021-01-26 06:00:00,28.835419,18.857056,1009.6044,-2.4875727,-2.9660997,0.7016034,54.864914,0.0
2021-01-26 12:00:00,28.45462,20.413055,1005.66876,-1.9186583,-1.2427788,0.46789312,61.77964,0.0
2021-01-26 18:00:00,22.727936,20.275604,1008.83124,-1.5782881,-1.2791243,0.037524696,86.06141,0.0
2021-01-27 00:00:00,22.40506,20.020966,1007.33374,0.89720726,-1.9449377,0.93126374,86.394066,0.0
2021-01-27 06:00:00,28.749603,20.393219,1009.71185,-2.291298,-2.6070251,0.9884115,60.65642,0.009537907
2021-01-27 12:00:00,28.299774,20.99356,1006.515,-2.429021,-1.4946012,0.6258616,64.60721,0.0
2021-01-27 18:00:00,22.98758,20.080292,1008.8806,-0.7123594,-1.7860117,0.31492633,83.70131,0.0
2021-01-28 00:00:00,22.652496,19.651428,1007.5712,1.1130781,-2.415617,0.68058884,83.17808,0.0
2021-01-28 06:00:00,28.363495,21.387604,1009.535,-2.4510098,-3.3681965,0.6765739,65.94332,0.041291118
2021-01-28 12:00:00,28.620453,21.679047,1006.365,-2.9905186,-1.927309,0.3104127,66.13521,0.0
2021-01-28 18:00:00,24.055756,20.900452,1009.0619,-1.40378,-1.6625872,0.13448757,82.55352,0.0
2021-01-29 00:00:00,23.894318,20.436554,1007.72437,0.8282652,-2.8664541,0.50186384,81.0099,9.49949e-05
2021-01-29 06:00:00,29.149628,21.69629,1009.60376,-2.8333025,-3.6468105,0.93863434,64.20622,0.008868054
2021-01-29 12:00:00,28.538849,21.70929,1007.0012,-2.155839,-2.3034792,1.0000002,66.57226,0.0
2021-01-29 18:00:00,24.933624,21.53659,1009.08374,-1.1085558,-2.043357,0.9273216,81.44514,0.0
2021-01-30 00:00:00,24.370758,21.5737,1007.3231,0.08930588,-2.6727695,0.4532894,84.42357,0.0003837049
2021-01-30 06:00:00,29.777008,21.426666,1009.0106,-2.580268,-3.4867725,0.5073397,60.910957,0.0032447278
2021-01-30 12:00:00,29.088104,21.628143,1005.5975,-2.6022167,-1.9578047,0.10396999,64.16717,0.0
2021-01-30 18:00:00,24.093658,21.552826,1008.975,-0.9863243,-1.6350241,0.20349759,85.72855,0.0
2021-01-31 00:00:00,24.005035,21.312317,1007.3575,-0.27583313,-2.2621489,0.39376462,84.92586,0.0
2021-01-31 06:00:00,29.373566,20.946136,1009.1981,-2.914401,-3.1882668,0.5463709,60.532684,0.00038184226
2021-01-31 12:00:00,28.931427,21.998749,1006.58936,-3.043787,-2.145668,0.015010018,66.2338,0.0
2021-01-31 18:00:00,24.33487,21.965607,1010.1719,-0.7988157,-2.4608574,0.07290489,86.655174,0.0
2021-02-01 00:00:00,23.494904,21.361053,1009.1981,0.13395596,-3.2795181,0.24532205,87.835526,0.0
2021-02-01 06:00:00,29.656036,21.849518,1011.3875,-2.1013145,-4.311308,0.36126554,62.943302,0.0
2021-02-01 12:00:00,28.751862,22.555145,1007.96875,-3.4805803,-2.3998194,0.022850037,69.2314,0.0
2021-02-01 18:00:00,24.056488,21.131104,1011.3869,-1.3141336,-2.6713963,0.11953402,83.727974,0.0
2021-02-02 00:00:00,23.36026,20.155914,1009.8575,0.15703964,-3.0755367,0.096024126,82.22064,0.0
2021-02-02 06:00:00,29.741852,21.066925,1011.07623,-2.3049831,-3.6406555,0.37162292,59.702564,0.00028684735
2021-02-02 12:00:00,28.750519,21.544586,1008.1719,-3.4241123,-1.9533138,0.22658217,65.10049,0.0
2021-02-02 18:00:00,25.321686,21.654144,1010.73627,-1.3757858,-2.1756487,0.29322404,80.15841,0.0
2021-02-03 00:00:00,24.395416,21.729431,1008.9169,-0.5702944,-2.2626724,0.67076933,85.10548,0.0
2021-02-03 06:00:00,29.549713,20.538147,1010.9338,-3.5209093,-2.9152937,0.56454057,58.434452,0.0013349927
2021-02-03 12:00:00,28.29654,21.159271,1008.21686,-3.4320602,-2.106948,0.49889416,65.28029,0.0
2021-02-03 18:00:00,23.718903,19.876373,1010.7488,-1.6216736,-2.2258978,0.9996032,79.0819,0.0
2021-02-04 00:00:00,22.694122,19.705383,1009.37,0.078951836,-2.3388987,0.01854122,83.246574,0.0
2021-02-04 06:00:00,29.308624,19.533447,1011.33875,-3.0337334,-3.0387125,0.55522436,55.680603,0.0
2021-02-04 12:00:00,28.060455,19.238281,1007.7425,-3.6373177,-2.045022,0.7913277,58.77325,0.0
2021-02-04 18:00:00,22.890411,19.200653,1009.9575,-1.0129137,-1.8716602,0.15649238,79.72076,0.0
2021-02-05 00:00:00,22.12613,19.018463,1008.92377,0.34034348,-2.3874493,0.49982727,82.56628,0.0
2021-02-05 06:00:00,28.597504,19.619354,1010.28064,-1.356679,-3.368451,0.5082487,58.33151,0.0
2021-02-05 12:00:00,28.305573,20.564392,1006.39374,-3.2114,-2.3320398,0.5705968,62.901848,0.0
2021-02-05 18:00:00,23.63675,19.975342,1008.8131,-1.492589,-1.1261797,0.14156203,79.96281,0.0
2021-02-06 00:00:00,22.18985,19.136322,1007.2456,0.8182907,-2.4069815,0.4767118,82.85303,0.0
2021-02-06 06:00:00,29.269684,20.1138,1009.1125,-1.6579351,-3.3748255,0.5667386,57.85031,0.0
2021-02-06 12:00:00,28.683502,19.001007,1005.88,-3.2565594,-2.4129725,0.17410278,55.849903,0.0
2021-02-06 18:00:00,22.112457,19.587128,1008.6281,-0.63845444,-2.096098,0.001876831,85.61222,0.0
2021-02-07 00:00:00,21.499176,19.604523,1007.6069,0.2845106,-2.984705,0.015426636,88.97549,0.0
2021-02-07 06:00:00,29.118317,18.900787,1009.0075,-1.5614309,-4.0411367,0.038848877,54.12127,0.0
2021-02-07 12:00:00,28.947418,18.17398,1006.1831,-2.9064837,-2.3326569,0.0,52.227814,0.0
