time,temperature,dewpoint,pressure,wind_u,wind_v,cloud_cover,humidity,rain_mm
2021-01-01 00:00:00,23.894318,21.283966,1009.98627,-0.9269161,-3.6592827,0.37666684,85.3443,0.0
2021-01-01 06:00:00,28.487091,21.479126,1012.4444,-3.7902994,-4.4361925,0.9749708,65.83926,0.0019072928
2021-01-01 12:00:00,27.083588,22.786652,1009.7512,-2.5764418,-3.394537,1.000001,77.38841,0.017067473
2021-01-01 18:00:00,24.32547,21.151947,1011.6912,-1.303072,-3.810934,0.99097896,82.49335,0.0
2021-01-02 00:00:00,23.896759,20.925568,1009.87,0.32719707,-3.7033157,1.0000013,83.47469,0.0072475523
2021-01-02 06:00:00,26.3732,23.078705,1011.95685,-2.5268679,-4.704728,0.8971721,82.13265,0.6082659
2021-01-02 12:00:00,26.490448,23.569885,1009.135,-2.8940744,-3.4809017,0.38726872,84.02162,0.0
2021-01-02 18:00:00,24.372223,23.531525,1010.29065,-1.3380194,-3.9130926,0.7790496,95.07361,0.047390535
2021-01-03 00:00:00,23.805878,22.891327,1008.36,-1.0079641,-3.747653,0.93557435,94.62904,0.88739455
2021-01-03 06:00:00,25.898804,24.119476,1010.4981,-2.4309397,-2.4908867,0.72866535,89.935135,0.22648787
2021-01-03 12:00:00,25.40561,24.113312,1007.95874,-2.3004503,-1.6164312,0.9858707,92.571526,0.0
2021-01-03 18:00:00,24.776825,23.5224,1009.3631,-1.8111057,-2.0865726,0.9637856,92.74944,0.0
2021-01-04 00:00:00,24.947296,22.791534,1008.83813,-1.4856873,-2.7109919,0.955347,87.84254,0.0
2021-01-04 06:00:00,27.717255,22.511444,1010.2825,-4.4641476,-2.8429995,0.65806854,73.33397,0.0
2021-01-04 12:00:00,27.368683,23.73108,1008.2294,-2.9819489,-2.7412825,0.40191966,80.57317,0.053976975
2021-01-04 18:00:00,24.760895,23.720886,1010.4856,-1.3159418,-3.146864,0.9839977,93.95443,0.106518045
2021-01-05 00:00:00,24.266815,23.185944,1009.0081,-0.045890808,-2.9370775,0.9921873,93.70104,0.20388523
2021-01-05 06:00:00,26.92392,24.21872,1010.7425,-1.9224701,-2.5435324,0.99893785,85.16253,0.0033217967
2021-01-05 12:00:00,26.417969,24.534515,1008.5444,-1.5534115,-1.8840656,0.9993348,89.413445,0.0
2021-01-05 18:00:00,24.53482,23.53659,1010.765,-0.99924755,-1.1138029,1.0000001,94.18141,0.0
2021-01-06 00:00:00,24.99057,23.696228,1008.3931,-1.0922318,-1.0592556,0.9936645,92.53798,0.0
2021-01-06 06:00:00,26.706085,24.408325,1009.7075,-2.6897812,0.006456375,0.95199114,87.246574,1.4219701
2021-01-06 12:00:00,26.775726,24.604187,1007.4775,-2.421959,-0.013181388,0.98627156,87.914116,0.0
